country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Income Group
Iceland,-0.2707973373909012,-0.24380264800832366,-0.1997634527518175,0.017611902409881558,-0.2064809285509467,0.371794819105456,1.5717182825410594,0.1712321395179833,0.2083169054345247,0.48025713056496033,-0.21454665187794725,0.286940482870148,0.8185660595677897,0.024936108569821525,0.28298941137963185,0.2688884204371598,-0.2954679093109969,-0.28846068360080623,-0.008854429050643396,-0.0006058710113681385,-0.516133665613653,1.375326722399984,-0.33361798758029815,0.1901804651066737,-0.2898392622694381,-0.2517227265245027,0.5057752814346653,0.5156627198607665,0.5947651728935794,1.0035903233009185,0.33269478735626035,1.2771261114750274,-0.5804896140240082,-0.7943412141073937,-0.22042387933118104,7.167503681841858,-1.2639735115152932,0.0,0
India,1.5165638340061962,9.823929835363385,-0.005401315884592658,0.26172213923316456,1.216439516704748,0.4865446689312411,-0.5414568458075925,0.4729955310280404,0.3559850148424127,0.14003335197979383,0.7841855984050347,0.4951722472123023,-0.19169991668734138,0.016532328051073724,0.6979940801861166,0.6653309151584424,0.8962265306201359,1.323390734302647,-1.369335863202909,-0.5043865788672266,-0.07810546514845287,-1.0658981763524107,0.3328242889579817,0.20852752208800207,-0.052024682298239866,0.6676436657510122,0.40034742645019133,0.4336047151468712,0.49686144073002725,0.21806849436233763,-0.20856626617298335,-0.2619898631234103,2.8846297759303514,-0.11125482795149429,2.086570638900938,-0.443033313787843,0.6690248444664537,0.0,2
Iran,0.5856225962826431,0.3640008551350339,-0.17954909496983149,0.035301050005771654,0.05227470151901648,0.2435449869472256,-0.39476105769862346,0.23386227737856116,0.5995078619361228,0.12147569132969373,0.09771206657281142,0.7401507934971896,0.2317519925089582,0.3484816585416117,0.10741051303842672,0.1103114225486468,-0.1036945105567351,-0.15239548308206471,0.1563072504581069,-0.021201427383322716,-0.07810546514845287,0.5523079047424182,0.15106730444754185,0.17642017237067742,0.8143159907972175,0.05396080944619748,0.4706326631065073,0.45478097442787646,0.47483310099322795,0.08861098624117485,0.015934057165850786,0.1238550003147022,-0.2187649557556019,-0.6147366039543339,1.094580183013583,0.379727442496449,0.6662957221405418,0.0,3
Iraq,-0.08441296785711931,0.04149532929235165,-0.16289941963542148,0.0812928337550858,-0.10654312965383408,0.14904511062010847,-0.41743016061881844,0.11998929945023773,1.0891442247096461,-0.18575669054418387,0.1918853308674846,0.38799413321266407,0.39726365244862866,0.5501723909915589,0.3787597195657437,0.36403461917026764,-0.1888577902910633,-0.10418716465325106,-0.2553669600527927,0.06999820314096722,1.3819885364022146,0.3972463883721518,0.6963382579788617,0.30943633548530824,5.057826959808453,0.45459150431688794,0.4204289226377102,0.43889877996712245,-2.0192644758732636,0.5142848265039812,0.022084750955955697,-0.44958294589995124,-0.42836242129430463,-0.7531204839083309,0.43268031400680435,-0.18797747933971246,0.6830603307140019,0.0,3
Ireland,-0.2894345394605474,-0.21051287084675038,-0.17115904969687815,-0.06375817653121277,-0.025563515076916454,1.117668842973059,1.9820671771327418,0.017503619314746675,0.6668652451748086,0.22457380605247146,-0.1947207015001213,0.286940482870148,0.8013700429506811,0.19301171894477742,0.04356364091435213,0.031022923604390282,0.2860651172681833,0.03893156769123421,0.7573424444030084,0.6069522363178648,-0.7351477658462531,0.14676240038941435,-0.1518610030698581,0.1901804651066737,-0.27854702200489884,-0.21003860798304358,0.4781632241768269,0.48919239575950996,0.5335753402913593,0.44626477986404817,0.17431442226105556,0.8912812480369148,-0.5027357155177152,-0.48813007548578363,-0.24064382339737253,0.27276854417949103,-1.2639735115152932,0.0,0
Israel,-0.31622309678289373,-0.18374268636624422,-0.03404919067669759,-0.053144687973678814,-0.014924782799135063,0.3144198941925634,0.9801793742477997,0.02604409265937093,0.13577818502363231,0.6410901895324935,-0.28889396579479454,0.29306494652727016,0.8787521177276698,0.12157958453542118,0.2031808212245386,0.1895999214929033,-0.034095907672025465,-0.012472882346119575,-0.06574853721533068,0.2757592652788261,0.2139133351616807,1.2958079960562578,-0.2730323260768182,0.23604810755999467,-0.23992756030017431,-0.21003860798304358,0.4781632241768269,0.5103686550405152,0.5458133068118034,0.5625571176678046,0.6325411096238811,0.8657003731128413,-0.08354078444030982,-0.5882375631120792,-0.21749198744158327,0.31390658199370564,-1.2639735115152932,0.0,0
Italy,-0.1590555150371778,0.20004851462141698,-0.1134720544781782,-0.1805065506640878,1.0167326800965562,0.2536699736965596,0.6945341102732395,0.0516655126932437,0.1953635625040082,0.5730454338154604,-0.22693787086408848,0.5747902747548908,0.629409876779595,0.3526835488009855,-0.16393869348889029,-0.17512717365067665,1.8332834161668001,1.5432304016814424,0.823604486415828,0.6151861366092758,-1.0271665661563867,0.37736670678622025,-0.878888941111618,0.1626598796346811,-0.04570102775009785,-0.21930174543670117,0.5133058425049848,0.518309752270892,0.5042042206422936,0.6393539445193418,0.9062469832835557,0.5821790093710235,0.5418710078929161,0.11545918814335163,-0.09354373031582938,0.18226486098821892,-1.2639735115152932,0.0,0
Jamaica,-0.3224435429273933,-0.22458977684324127,-0.08517195358339777,-0.04253119941614486,-0.20818751757276321,0.26379496044589357,-0.39186047507209315,0.19115991065543986,0.16427553947076862,0.49675282892060474,0.12992923593677852,0.21344691898468185,0.5735228227739918,0.42411568321034177,0.04356364091435213,0.031022923604390282,-0.3105948005161319,-0.29275892955711885,-0.04190678801710702,-0.027706424726405957,-0.6621430657687197,-0.18721625025423602,-0.5759606335942181,0.19476722935200583,-0.2904038742826651,0.05859237817302626,0.4179187356142704,0.41507548827599167,0.5384705268995369,0.34313761237769824,0.29425295116810385,0.10466934412164691,0.37960200231456553,0.10368183665790513,-0.2483274021425253,-0.3607572381594138,0.6740932145002906,0.0,3
Jordan,-0.27847719158229656,-0.17336548002267724,-0.15368341135632246,0.08483066327426361,-0.19242630720646353,0.3110448986094521,-0.3989598331402774,0.10290835276098922,0.3041716431203467,0.4534516207370382,-0.2641115278225121,0.29000271469870914,0.8615561011105612,0.4367213539884635,0.5543386179069488,0.5543270166364833,-0.2812212466889194,-0.22644838296614253,-0.15822649181383946,-0.09107071778261877,2.6230684377202818,0.9618293454126081,1.1810235500067017,0.2635686930319873,0.5242183384012021,0.10722384980472859,0.4706326631065073,0.48389833093925866,-2.0192644758732636,0.2970595162667759,1.3383332220384347,0.32210678097627377,-0.2897576456961303,-0.7766751868792239,-0.24842850186285625,-0.2784811625309846,0.778969486738913,0.0,3
Kenya,0.0036600625298911066,0.12740807021644798,-0.16324719353274597,-0.049606858454500996,-0.17488463243972224,0.4190447572690146,-0.5516324495564987,0.9000191982592533,0.07878347612935975,0.05343093561266049,1.2203565067172055,0.008277386471088692,-0.22824145199869716,0.3274722072447422,0.42664487365879966,0.41160771853682154,-0.2897021792272663,-0.24985912857007586,-0.11134391600593477,-0.15605585735288888,1.016965036014548,-1.3481896548726386,1.4839518575241015,0.28650251425864776,0.3672561987241054,0.6236437628461388,0.4254492966845899,0.4203695530962429,0.5335753402913593,0.38482731838281836,-0.17935047066998433,0.15583109396979442,0.9509241261216747,-0.582348887369356,-0.17331140965695485,-0.5006265667277434,0.742516209957087,0.0,2
