"","pays1","pays2","dist"
"203","South Africa","France",7612.22431050263
"204","South Africa","Guatemala",12251.2422544276
"205","South Africa","Belize",12326.9224912345
"206","South Africa","Honduras",11724.2075580293
"207","South Africa","El Salvador",12102.912921535
"208","South Africa","Costa Rica",11355.4903839476
"209","South Africa","Panama",10825.3734673674
"210","South Africa","Colombia",9449.23748033661
"211","South Africa","Ecuador",10157.5375841349
"212","South Africa","Peru",8731.59643279655
"213","South Africa","Brazil",5769.58759315376
"214","South Africa","Bolivia",7526.69332673156
"215","South Africa","Chile",6976.20521680576
"216","South Africa","Argentina",6682.31360933807
"217","South Africa","Paraguay",6958.75364838938
"218","South Africa","Uruguay",6496.59055237126
"219","South Africa","Guyana",8489.38676425311
"220","South Africa","Suriname",8299.26879813335
"221","South Africa","French Guiana",8122.83218064683
"222","South Africa","Venezuela",9053.17727488025
"223","South Africa","Lake Titicaca",8716.86593047941
"224","South Africa","Romania",7288.87331092057
"225","South Africa","Iran",5973.47191443237
"226","South Africa","Turkey",6442.54442107456
"227","South Africa","Afghanistan",6585.38644296224
"228","South Africa","China",7838.17263372603
"229","South Africa","India",6035.82336489508
"230","South Africa","Myanmar",8064.69088022966
"231","South Africa","Nepal",7733.68586600204
"232","South Africa","Bhutan",8256.39759931454
"233","South Africa","Bangladesh",7969.45505662062
"234","South Africa","Thailand",8057.88525788046
"235","South Africa","Laos",8778.88828739759
"236","South Africa","Vietnam",8680.34159073244
"237","South Africa","North Korea",11817.5767952799
"238","South Africa","Hungary",7606.7862914061
"239","South Africa","Czechoslovakia",7812.66468658632
"240","South Africa","Poland",7909.31690116213
"241","South Africa","South Korea",11842.401671726
"242","South Africa","Lake Pasvikelv",10123.5378469691
"243","South Africa","Bulgaria",7052.73769990065
"244","South Africa","Yugoslavia",7021.27383842286
"245","South Africa","Greece",6512.20882467139
"246","South Africa","Albania",6907.03452076005
"247","South Africa","Austria",7740.88487012442
"248","South Africa","Lacul Greaca",7313.84742226332
"249","South Africa","Germany",7914.660691756
"250","South Africa","Luxembourg",8264.28273724644
"251","South Africa","Belgium",8266.90180650272
"252","South Africa","Liechtenstein",7909.10051409934
"253","South Africa","Portugal",7424.20713557905
"254","South Africa","Spain",7187.31707378904
"255","South Africa","Andorra",7668.48240776905
"256","South Africa","Monaco",7623.34217325436
"257","South Africa","Norway",9125.31306431758
"258","South Africa","Finland",9139.41791081737
"259","South Africa","Sweden",8722.2766415656
"260","South Africa","Egypt",4902.61549837468
"261","South Africa","Libya",4640.27174052279
"262","South Africa","Sudan",2841.36947913786
"263","South Africa","Chad",3555.39084418754
"264","South Africa","Tunisia",6165.58215174673
"265","South Africa","Algeria",5130.33611641303
"266","South Africa","Mali",4778.85407522806
"267","South Africa","Mauritania",5237.9061500299
"268","South Africa","Morocco",6557.38180850347
"269","South Africa","Western Sahara",6218.64917349282
"270","South Africa","Senegal",5335.13738342575
"271","South Africa","Gambia",5603.35621185618
"272","South Africa","Guinea-Bissau",5453.65296200055
"273","South Africa","Guinea",4720.34012643488
"274","South Africa","Ivory Coast",4158.71719491245
"275","South Africa","Liberia",4383.87296958258
"276","South Africa","Sierra Leone",4889.77277883527
"277","South Africa","Ghana",3971.74575372923
"278","South Africa","Burkina Faso",4454.27174185216
"279","South Africa","Niger",4294.11146281187
"280","South Africa","Benin",3915.46667215146
"281","South Africa","Togo",3956.07439536687
"282","South Africa","Nigeria",3522.88157390699
"283","South Africa","Cameroon",2948.92238625483
"284","South Africa","Central African Republic",3004.85163656774
"285","South Africa","Zaire",975.836926990275
"286","South Africa","Congo",2275.91733460529
"287","South Africa","Gabon",2489.57551303281
"288","South Africa","Uganda",2292.11071758426
"289","South Africa","Rwanda",2148.15880684539
"290","South Africa","Zambia",544.204910186241
"291","South Africa","Angola",773.461515193701
"292","South Africa","Burundi",1965.34964388212
"293","South Africa","Namibia",0
"294","South Africa","Botswana",0
"295","South Africa","Mozambique",0
"296","South Africa","Swaziland",0
"297","South Africa","Zimbabwe",0
"298","South Africa","Malawi",718.725040620496
"299","South Africa","Tanzania",1259.75406820448
"300","South Africa","Kenya",2137.27323691011
"301","South Africa","Somalia",2545.97507122461
"302","South Africa","Djibouti",3863.77958899052
"303","South Africa","Syria",6074.96707481511
"304","South Africa","Lebanon",6156.13375171676
"305","South Africa","Jordan",5726.5275077998
"306","South Africa","Israel",5750.29399178789
"307","South Africa","Gaza Strip",5923.62574034449
"308","South Africa","Saudi Arabia",4463.22234792991
"309","South Africa","Yemen",4100.06971126947
"310","South Africa","Qatar",5620.30574144959
"311","South Africa","Kuwait",5921.11171137916
"312","South Africa","Neutral Zone",5861.26499989831
"313","South Africa","Vislinskiy Zaliv",8514.4113222543
"314","South Africa","Lake Albert",2590.06051600058
"315","South Africa","Lake Tanganyika",1492.49440839668
"316","South Africa","Lake Kariba",525.200520545848
"317","South Africa","Lake Victoria",2168.75847783353
"318","South Africa","Oman",4922.75882869901
"319","South Africa","United Arab Emirates",5494.40499709333
"320","South Africa","Great Bitter Lake",5795.26683333672
"321","South Africa","West Bank",5946.49030955833
"322","South Africa","Australia",7693.45314721062
"323","South Africa","Papua New Guinea",11318.1214053607
"324","South Africa","Saint-Barthelemy",9958.68161194846
"325","South Africa","Cuba",11120.3607343385
"326","South Africa","Antarctica",3881.61164322914
"327","South Africa","Lesotho",187.570376928508
"328","South Africa","Lake Fjerritslev",8973.39187081675
"329","South Africa","Anguilla",9999.02116764905
"330","South Africa","Nauru",14244.4885013649
"331","South Africa","Saint Kitts",9915.0411923458
"332","South Africa","Montserrat",9835.26034626339
"333","South Africa","Greenland",10989.5604643154
"334","South Africa","Sardinia",7101.12532015855
"335","South Africa","Iceland",10326.2105463493
"336","South Africa","Sicily",6678.67209600815
"337","South Africa","Sonsorol Island",11202.9757558768
"338","South Africa","Maug Island",13151.6872063937
"339","South Africa","Isle of Man",9035.75632145146
"340","South Africa","Saint Eustatius",9943.18210077641
"341","South Africa","Brunei",9371.02975729891
"342","South Africa","Dominican Republic",10498.0122468411
"343","South Africa","Haiti",10791.482961371
"344","South Africa","Ireland",8892.70696747847
"345","South Africa","Nevis",9893.34680284027
"346","South Africa","Madagascar",1134.2207081841
